Fecha y hora,Irradiación W/m²,Temperatura Ambiente °C,Temperatura de Panel °C,Producción Fotovoltaica Wh
2025-04-11 12:00:00,465.0,28.7,43.2,2099.62
2025-04-11 12:05:00,464.5,28.7,43.2,2165.51
2025-04-11 12:10:00,464.0,28.7,43.2,2202.45
2025-04-11 12:15:00,463.5,28.7,43.2,2221.85
2025-04-11 12:20:00,463.0,28.7,43.1,2231.83
2025-04-11 12:25:00,462.5,28.7,43.1,2229.52
2025-04-11 12:30:00,462.0,28.6,43.1,2202.09
2025-04-11 12:35:00,461.5,28.6,43.1,2150.42
2025-04-11 12:40:00,461.0,28.6,43.0,2082.31
2025-04-11 12:45:00,460.5,28.6,43.0,2016.38
2025-04-11 12:50:00,460.0,28.6,43.0,1967.41
2025-04-11 12:55:00,459.5,28.6,43.0,1955.27
2025-04-11 13:00:00,459.0,28.6,42.9,1983.66
2025-04-11 13:05:00,459.9,28.6,43.0,2039.33
2025-04-11 13:10:00,460.8,28.6,43.0,2098.32
2025-04-11 13:15:00,461.8,28.6,43.1,2149.0
2025-04-11 13:20:00,462.7,28.7,43.1,2183.32
2025-04-11 13:25:00,463.6,28.7,43.2,2204.16
2025-04-11 13:30:00,464.5,28.7,43.2,2210.96
2025-04-11 13:35:00,465.4,28.7,43.3,2205.38
2025-04-11 13:40:00,466.3,28.7,43.3,2181.08
2025-04-11 13:45:00,467.2,28.8,43.4,2141.96
2025-04-11 13:50:00,468.2,28.8,43.4,2089.9
2025-04-11 13:55:00,469.1,28.8,43.4,2042.24
2025-04-11 14:00:00,470.0,28.8,43.5,2010.36
2025-04-11 14:05:00,457.9,28.8,43.1,2006.03
2025-04-11 14:10:00,445.8,28.8,42.7,2014.49
2025-04-11 14:15:00,433.8,28.7,42.3,2037.66
2025-04-11 14:20:00,421.7,28.7,41.9,2057.29
2025-04-11 14:25:00,409.6,28.7,41.5,2056.86
2025-04-11 14:30:00,397.5,28.6,41.1,2033.16
2025-04-11 14:35:00,385.4,28.6,40.7,1988.12
2025-04-11 14:40:00,373.3,28.6,40.3,1922.31
2025-04-11 14:45:00,361.2,28.6,39.9,1841.8
2025-04-11 14:50:00,349.2,28.6,39.5,1755.99
2025-04-11 14:55:00,337.1,28.5,39.1,1674.3
2025-04-11 15:00:00,325.0,28.5,38.7,1603.34
2025-04-11 15:05:00,319.7,28.5,38.5,1545.36
2025-04-11 15:10:00,314.3,28.4,38.3,1519.55
2025-04-11 15:15:00,309.0,28.4,38.1,1512.04
2025-04-11 15:20:00,303.7,28.4,37.9,1515.06
2025-04-11 15:25:00,298.3,28.4,37.7,1523.02
2025-04-11 15:30:00,293.0,28.4,37.5,1529.04
2025-04-11 15:35:00,287.7,28.3,37.3,1527.38
2025-04-11 15:40:00,282.3,28.3,37.1,1514.61
2025-04-11 15:45:00,277.0,28.3,36.9,1489.63
2025-04-11 15:50:00,271.7,28.2,36.7,1457.69
2025-04-11 15:55:00,266.3,28.2,36.5,1423.34
2025-04-11 16:00:00,261.0,28.2,36.4,1383.53
2025-04-11 16:05:00,250.7,28.2,36.0,1337.41
2025-04-11 16:10:00,240.3,28.1,35.6,1282.64
2025-04-11 16:15:00,230.0,28.0,35.2,1232.77
